Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3385.7,8.6976,0.052,71.8168,123.9795,67.3125,0.1551,6.2288,1.9967,1.86,2.533,28.0374,2.1108,2.3426,0.0669,0,1,0.4298
3385.8,8.6976,0.053,72.2056,124.9526,64.6607,0.1538,6.0884,1.9227,1.8367,2.5337,28.0392,2.0601,2.2808,0.0665,0,1,0.4116
3385.9,8.6975,0.0591,72.5699,126.0111,61.4429,0.1532,5.8839,1.8583,1.8184,2.5383,28.0673,1.9954,2.1943,0.0638,0,1,0.3894
3386,8.6812,0.0688,72.8106,127.3142,57.759,0.1585,5.7033,1.8279,1.8096,2.5413,28.0954,1.9333,2.0709,0.0621,0,1,0.364
3386.1,8.7483,0.0762,73.1063,127.7765,55.0843,0.1587,5.6239,1.792,1.8028,2.535,28.1233,1.8409,1.9214,0.0656,0,1,0.3454
3386.2,8.7479,0.0748,73.3831,128.1541,55.265,0.1624,5.6729,1.8354,1.8054,2.5156,28.1249,1.635,1.4937,0.0767,0,1,0.3467
3386.3,8.698,0.0657,73.554,129.043,53.7739,0.1617,5.8031,1.7483,1.768,2.4915,28.1265,1.6151,1.4015,0.0905,0,1,0.3364
3386.4,8.7481,0.0558,73.891,129.7684,53.0567,0.1589,5.9511,1.6065,1.7309,2.4755,28.1281,1.6676,1.5784,0.0997,0,0.9824,0.3314
3386.5,8.7227,0.0515,74.2675,130.3849,53.3309,0.1619,6.0494,1.5816,1.7138,2.474,28.1232,1.6678,1.6469,0.1006,0,0.9577,0.3333
3386.6,8.6976,0.0536,74.5436,130.817,52.7007,0.1667,6.0624,1.566,1.7021,2.4812,28.1183,1.6419,1.6176,0.0965,0,1,0.3289
3386.7,8.6976,0.0579,74.6921,130.8148,53.5742,0.1742,6.0128,1.5344,1.6838,2.4868,28.1133,1.6219,1.582,0.0933,0,1,0.335
3386.8,8.6976,0.0601,74.7606,130.5943,53.4132,0.1798,5.9634,1.5234,1.6788,2.4833,28.0931,1.5815,1.4518,0.0952,0,1,0.3338
3386.9,8.6976,0.0575,74.7302,130.334,55.4448,0.1796,5.9819,1.6315,1.7002,2.4717,28.0728,1.4508,1.1868,0.1018,1,1,0.3477
3387,8.6976,0.0502,74.6799,129.9339,60.3543,0.1735,6.057,1.6297,1.6807,2.461,28.0527,1.4918,1.2461,0.108,1,1,0.3815
3387.1,8.6976,0.0423,74.5932,129.4536,65.9413,0.164,6.1091,1.5604,1.6345,2.4615,28.0466,1.623,1.4887,0.1078,1,0.9458,0.4203
3387.2,8.6976,0.0397,74.2986,129.0023,66.7384,0.1548,6.0753,1.5733,1.607,2.4768,28.0405,1.7439,1.8625,0.0991,0,0.9293,0.4259
3387.3,8.6976,0.0454,73.8501,128.2779,64.5639,0.1482,5.9504,1.6158,1.597,2.5006,28.0345,1.8054,2.0209,0.0855,0,1,0.4108
