Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,KLOGH,SAND_FLAG,SW,VSH
3508.2,8.6719,0.061,67.1972,114.7769,55.5991,0.0792,6.3022,3.6334,3.2961,2.6425,24.5608,4.0767,4.5765,0.02,0.001,0,1,0.4199
3508.3,8.6719,0.0613,67.2227,114.9862,53.0653,0.0801,6.261,3.5723,3.2865,2.6384,24.6958,4.0946,4.677,0.02,0.001,0,1,0.3971
3508.4,8.6719,0.06,67.2326,115.0852,50.3408,0.0843,6.2497,3.5321,3.2656,2.6327,24.8309,4.065,4.6334,0.02,0.001,0,1,0.3725
3508.5,8.6719,0.0598,67.2426,115.184,47.0951,0.091,6.2813,3.5124,3.2738,2.6295,24.9664,4.0206,4.5928,0.02,0.001,0,1,0.3432
3508.6,8.6719,0.0625,67.3004,115.2236,47.5375,0.0973,6.344,3.4952,3.2702,2.6301,25.2601,3.942,4.4788,0.02,0.001,0,1,0.3471
3508.7,8.6719,0.0675,67.4115,115.1972,50.6955,0.1004,6.4138,3.5107,3.2702,2.6318,25.5538,3.7989,4.1925,0.02,0.001,0,1,0.3755
3508.8,8.6719,0.0714,67.5229,115.1715,57.1646,0.0999,6.4246,3.4707,3.2603,2.6299,25.8478,3.7398,4.0858,0.02,0.001,0,1,0.4339
3508.9,8.6719,0.0716,67.7202,115.3844,59.2406,0.0974,6.343,3.443,3.2524,2.6226,26.2293,3.7051,4.0859,0.02,0.001,0,1,0.4527
3509,8.6719,0.0693,68.0343,115.9215,55.14,0.0952,6.1856,3.393,3.234,2.6128,26.6108,3.7322,4.1625,0.0213,0.001,0,1,0.4157
3509.1,8.6875,0.0665,68.3486,116.4587,52.371,0.0938,6.0233,3.2946,3.1973,2.6048,26.9901,3.7034,4.1426,0.0258,0.0011,0,1,0.3908
3509.2,8.6719,0.0644,68.7087,117.0908,49.082,0.1004,5.9284,3.2389,3.179,2.6014,26.5926,3.6483,4.0783,0.0278,0.0015,0,1,0.3612
3509.3,8.6718,0.0628,69.1451,117.8798,46.1457,0.1079,5.9155,3.2178,3.1727,2.6027,26.1951,3.5938,3.9397,0.027,0.0016,0,1,0.3347
3509.4,8.6485,0.062,69.5815,118.6691,44.9338,0.1149,5.9433,3.2304,3.1754,2.6074,25.7982,3.4159,3.6214,0.0243,0.0014,0,1,0.3237
3509.5,8.6719,0.0628,69.9789,119.596,44.514,0.1168,5.9609,3.3123,3.1917,2.6123,25.6353,3.2589,3.3106,0.0215,0.0011,0,1,0.3199
3509.6,8.6719,0.0653,70.2965,120.804,44.4395,0.1121,5.9589,3.311,3.1674,2.6134,25.4724,3.2763,3.3473,0.0209,0.0011,0,1,0.3192
3509.7,8.6719,0.0667,70.614,122.0111,46.0661,0.1042,5.9773,3.1515,3.1226,2.608,25.3103,3.3602,3.6673,0.024,0.0013,0,1,0.3339
3509.8,8.6719,0.065,70.8227,122.894,47.9727,0.0981,6.0366,3.0391,3.0985,2.5981,25.414,3.3751,3.734,0.0297,0.0018,0,1,0.351
3509.9,8.6719,0.0607,70.7529,122.9456,51.3344,0.096,6.1118,2.9594,3.0867,2.5896,25.5176,3.2669,3.5663,0.0345,0.0022,0,1,0.3812
3510,8.6719,0.056,70.6829,122.9965,57.6591,0.0976,6.1738,2.9551,3.0877,2.5873,25.6215,3.1034,3.2143,0.0358,0.0019,0,1,0.4381
3510.1,8.6719,0.0538,70.5135,122.691,67.4066,0.1019,6.2101,2.9675,3.1037,2.5927,25.8437,3.0079,3.0434,0.0327,0.001,0,1,0.5259
3510.2,8.6719,0.0559,70.0164,121.2115,76.7687,0.1101,6.2221,2.8484,3.0936,2.6033,26.0659,2.9771,3.0525,0.0267,0.001,0,1,0.6102
3510.3,8.6719,0.061,69.5193,119.7315,87.8275,0.124,6.2249,2.7903,3.1019,2.6127,26.288,2.9043,2.9666,0.0213,0.001,0,1,0.71
3510.4,8.6875,0.0655,68.9865,118.0464,92.9785,0.1437,6.2205,2.764,3.1373,2.6146,26.4639,2.7923,2.722,0.0202,0.001,0,1,0.7566
3510.5,8.6718,0.0659,68.2964,115.4574,92.3737,0.1665,6.2083,2.7415,3.1831,2.6078,26.6398,2.6902,2.4887,0.0241,0.001,0,1,0.7513
